Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[180 Water St](https://www.apartments.com/180-water-st-new-york-ny/htl8ej0/),646-679-1477,"[180 Water St, New York, NY 10038](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/180+Water+St,+New+York,+NY+10038/data=!4m2!4m1!3e2)",525 - 699 Sq Ft,"$2,590 - 7,746",,,Pets Negotiable,,,,"* Fitness Center
* Pool
* Gaming Stations","* Dishwasher
* Disposal
* Granite Countertops
* Stainless Steel Appliances
* Kitchen Facilities
* Microwave
* Oven
* Refrigerator
* Freezer","* Can Be Furnished
* Renovated
* Walk in Closet","* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Storage Units
* Double Vanities
* Tub/Shower
* Intercom
* Sprinkler System
* Wheelchair Accessible (Rooms)",* Hardwood Floors,12 - 24 Month Leases,"* Package Service
* Wi-Fi at Pool and Clubhouse
* Laundry Facilities
* Controlled Access
* On Site Management
* Doorman
* Concierge
* Dry Cleaning Service
* Laundry Service
* Planned Social Activities","* Built in 1971
* 571 Units/29 Stories",* Elevator,"* Rooftop Lounge
* Deck
* Barbecue Area",,
[EOS](https://www.apartments.com/eos-new-york-ny/zls36xz/),844-283-4121,"[100 W 31st St, New York, NY 10001](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/100+W+31st+St,+New+York,+NY+10001/data=!4m2!4m1!3e2)",674 Sq Ft,"$3,688 - 6,826",,,"Dogs Allowed
Pets Allowed 
* $500 Fee
* 45 lb Weight Limit
* 2 Pet Limit",,,,"* Fitness Center
* Pool
* Gaming Stations","* Dishwasher
* Kitchen Facilities
* Microwave
* Refrigerator","* Air Conditioning
* Dining Room with Catering Pantry
* Dishwasher
* Doorman
* Elevator
* Fitness Center with High-Performance Equipment
* Full-Time Doorman and Concierge
* Game Room
* Golf Simulator
* Gym
* Half-Court Basketball
* Hardwood Floors
* High Ceilings
* Indoor Pool
* Large Living Room
* Laundry in Unit
* Library with Fireplace
* Linen Closet
* Locker Rooms
* Media Room
* Microwave
* On-Site Resident Manager
* Pass-Through Kitchen
* Spin Studio
* Stainless Steel Appliances
* Stunning River Views
* Walk-In Closet
* Yoga Studio","* High Speed Internet Access
* Wi-Fi
* Washer/Dryer
* Air Conditioning
* Smoke Free",* Hardwood Floors,12 - 26 Month Leases,"* On Site Management
* Doorman
* On-Site ATM
* Recycling
* Dry Cleaning Service
* Maid Service
* Composting","* Built in 2016
* 375 Units/46 Stories","* Elevator
* Lounge
* Multi Use Room","* Rooftop Lounge
* Sundeck",,
[Gateway Battery Park City](https://www.apartments.com/gateway-battery-park-city-new-york-ny/rlcl211/),332-225-8508,"[345-395 S End Ave, New York, NY 10280](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/345-395+S+End+Ave,+New+York,+NY+10280/data=!4m2!4m1!3e2)",,"$2,580 - 3,230",,,"Dogs Allowed:
No aggressive breeds allowed. 
* $25 Monthly Pet Rent
* 50 lb Weight Limit
* 2 Pet Limit",,,Covered,"* Fitness Center
* Sauna
* Pool",,,"* High Speed Internet Access
* Smoke Free",,12 months,"* Package Service
* Laundry Facilities
* Maintenance on site
* On Site Management
* Doorman
* Concierge
* Pet Care","* Built in 1983
* 1712 Units/34 Stories","* Elevator
* Business Center
* Clubhouse
* Lounge",* Sundeck,,
[The Max](https://www.apartments.com/the-max-new-york-ny/24f34qb/),844-445-9408,"[606 W 57th St, New York, NY 10019](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/606+W+57th+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)",,"$2,998 - 3,190",,,"Dogs Allowed
* 50 lb Weight Limit
* 1 Pet Limit",,,"Covered
Parking Available","* Fitness Center
* Basketball Court
* Volleyball Court","* Dishwasher
* Microwave
* Range
* Refrigerator","* 24-Hour Doorman
* 24HourConcierge
* 24HourDoorman
* ATM in Building
* Basketball Court
* BBQ Grills
* BicycleStorage
* Billiards
* ChildrensPlayroom
* ClubRoom
* Game Room
* Garden
* HomeWorkCoWorkingSpace
* LandscapedRoofDeck
* Laundry Room
* LiveInSuper
* Lobby Lounge
* NonSmoking
* Package Room
* Package Room Attendant
* ParkingGarage
* PelotonBikes
* Pet Washroom
* PetFriendly
* Pet-Friendly
* Resident Lounge
* Screening Room
* Shared Workspace
* Terrace
* ThrowMeABoneInc
* TV Room
* Valet
* WiFi
* Yoga Room","* Air Conditioning
* Heating
* Entry Alarm System
* Wheelchair Accessible (Rooms)",* Window Coverings,"1 Year, 2 Year","* Package Service
* Laundry Facilities
* Day Care
* Maintenance on site
* On Site Management
* Doorman
* On-Site ATM","* Built in 2018
* 770 Units/44 Stories","* Elevator
* Lounge
* Storage Space",* Sundeck,,
[The Eugene](https://www.apartments.com/the-eugene-new-york-ny/thftp68/),844-500-7684,"[435 W 31st St, New York, NY 10001](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/435+W+31st+St,+New+York,+NY+10001/data=!4m2!4m1!3e2)",,"$3,607 - 8,171",,,Pets Negotiable,,,,"* Fitness Center
* Playground
* Basketball Court","* Dishwasher
* Microwave
* Range","* Bike Storage
* Concierge Services
* Granite Countertops
* Private Outdoor Space
* Stainless Steel Appliances","* Washer/Dryer
* Heating
* Ceiling Fans","* Hardwood Floors
* Views
* Walk-In Closets",12 - 24 Month Leases,"* Laundry Facilities
* Doorman
* Concierge","* Built in 2017
* 888 Units/62 Stories","* Elevator
* Business Center
* Clubhouse
* Storage Space",,,
[FRANK 57 WEST](https://www.apartments.com/frank-57-west-new-york-ny/yh2kx5r/),844-290-1141,"[600 W 58th St, New York, NY 10019](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/600+W+58th+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)",,"$5,257",,,No Pets Allowed,,,Garage,* Fitness Center,"* Dishwasher
* Microwave","* Bike Storage
* Central Air
* Community Events and Outings
* Dishwasher
* Elevator
* Furnished
* Garage
* Gym
* Hardwood Floors
* Laundry in Unit
* Microwave
* New Development
* Onsite Management
* Outdoor Areas
* Package Concierge
* Resident Lounge
* Roof Deck
* Shuttle Service to Columbus Circle
* Smoke Free Building
* Virtual Package Concierge
* Walk in Closet
* Walk in Shower","* Washer/Dryer
* Air Conditioning",* Hardwood Floors,13 - 26 Month Leases,,"* Built in 2017
* 65 Units/10 Stories",* Elevator,,,
[Oskar](https://www.apartments.com/oskar-new-york-ny/p900epv/),855-259-4393,"[572 11th Ave, New York, NY 10036](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/572+11th+Ave,+New+York,+NY+10036/data=!4m2!4m1!3e2)",,"$3,689 - 7,555",,,Pets Negotiable,,,,* Fitness Center,"* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Kitchen Facilities
* Microwave
* Oven
* Range
* Refrigerator",* No Fee,"* High Speed Internet Access
* Wi-Fi
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Entry Alarm System
* Tub/Shower","* Hardwood Floors
* Dining Room
* Views
* Walk-In Closets",,"* Package Service
* Community-Wide WiFi
* Controlled Access
* Maintenance on site
* On Site Management
* Doorman
* Concierge
* 24 Hour Availability","* Built in 2018
* 164 Units/13 Stories","* Elevator
* Business Center
* Clubhouse
* Lounge
* Disposal Chutes","* Rooftop Lounge
* Courtyard
* Balcony
* Deck",,
[Waterside Plaza](https://www.apartments.com/waterside-plaza-new-york-ny/4mwgfwk/),844-481-8877,"[25 Waterside Plz, New York, NY 10010](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/25+Waterside+Plz,+New+York,+NY+10010/data=!4m2!4m1!3e2)",631 Sq Ft,"$3,200 - 6,895",,,"Cats Allowed:
No dogs allowed, please. Cats and other small animals are okay.",,,"Street and Garage
$350/month for tenants. Street parking also available. ZipCar rental and carwash available at the garage.","* Fitness Center
* Pool
* Playground","* Dishwasher
* Microwave
* Range","* Free Shuttle for Residents that Runs to Union Square and the UN
* Wood Parquet Flooring","* High Speed Internet Access
* Air Conditioning
* Heating
* Cable Ready
* Tub/Shower",* Hardwood Floors,,"* On Site Management
* Doorman
* Concierge","* Built in 1973
* 1470 Units/37 Stories","* Elevator
* Business Center
* Lounge
* Storage Space",* Sundeck,,
[Sky](https://www.apartments.com/sky-new-york-ny/w1h7edh/),844-481-4785,"[605 W 42nd St, New York, NY 10036](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/605+W+42nd+St,+New+York,+NY+10036/data=!4m2!4m1!3e2)",,"$3,230 - 6,925",,,"Dogs and Cats Allowed
Pets Allowed",,,"Covered
Parking Available","* Fitness Center
* Pool","* Dishwasher
* Microwave
* Oven
* Range","* 15,500 SF OF FITNESS SPACE
* 2 ART LIBRARIES WITH FIREPLACES
* ATM
* BIKE STORAGE
* BILLIARDS LOUNGE AND CAFÉ
* Cable & Wifi Included!
* FULL-SERVICE SPA
* Heat/Hot Water Included
* INFINITI LOOP MOTORCOURT
* Outdoor Areas
* PROFESSIONAL-SIZED BASKETBALL COURT
* SKYDECK WITH TWO ZERO-EDGE POOLS
* SKYLINK: BUILDING LINK SYSTEM
* THE PARK, PRIVATE TO RESIDENTS
* Washer/Dryer Allowed","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Smoke Free
* Storage Units
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Views",,"* Package Service
* Wi-Fi at Pool and Clubhouse
* Laundry Facilities
* Maintenance on site
* On Site Management
* Doorman
* Concierge
* 24 Hour Availability
* Shuttle to Train
* On-Site ATM
* On-Site Retail
* Laundry Service
* Maid Service
* Health Club Discount
* Pet Care
* Pet Play Area","* Built in 2015
* 1175 Units/71 Stories","* Elevator
* Business Center",* Lawn,,
[Rachel Bridge Apartments](https://www.apartments.com/rachel-bridge-apartments-new-york-ny/b0ke53c/),844-865-2738,"[1365 Saint Nicholas Ave, New York, NY 10033](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/1365+Saint+Nicholas+Ave,+New+York,+NY+10033/data=!4m2!4m1!3e2)",650 - 850 Sq Ft,"$1,895 - 3,195",,,,,,Street,,"* Granite Countertops
* Eat-in Kitchen
* Kitchen Facilities
* Refrigerator","* Balcony And River Views
* Balcony W/ Views Of Upper Manhattan
* Granite Countertops
* Granite Countertops, St Steel Appliances
* Newly Renovated Kitchen And Bath
* Pets Ok
* Short Walk To The #1 Train
* Spacious Living Room With Lots Of Light","* Heating
* Cable Ready","* Hardwood Floors
* Views
* Walk-In Closets",,"* Laundry Facilities
* Doorman
* Laundry Service","* Built in 1962
* 480 Units/32 Stories",,* Balcony,,
[25 E 67th St](https://www.apartments.com/25-e-67th-st-new-york-ny/gmt914x/),914-380-3228,"[796 Madison Ave, New York, NY 10021](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/796+Madison+Ave,+New+York,+NY+10021/data=!4m2!4m1!3e2)",,"$6,500 - 8,250",,,Pets Negotiable,,,,,"* Kitchen Facilities
* Range",,* Heating,,12 Months,,"* Built in 1928
* Renovated in Jan 1986
* 60 Units/15 Stories",,,,
