Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
Gateway Battery Park City,332-225-8508,"345-395 S End Ave, New York, NY 10280",,"$5,040 - 6,335",,,"Dogs Allowed:
No aggressive breeds allowed. 
* $25 Monthly Pet Rent
* 50 lb Weight Limit
* 2 Pet Limit",,,Covered,"* Fitness Center
* Free Weights
* Sauna
* Pool",,,"* High Speed Internet Access
* Smoke Free",,12 months,"* Package Service
* Laundry Facilities
* Maintenance on site
* Doorman
* Concierge
* Pet Care","* Built in 1983
* 1712 Units/34 Stories","* Elevator
* Business Center
* Clubhouse
* Lounge
* Library",* Sundeck,[],
The Max,844-445-9408,"606 W 57th St, New York, NY 10019",,"$3,044 - 3,190",,,"Dogs Allowed
* 50 lb Weight Limit
* 1 Pet Limit",,,"Covered
Parking Available","* Fitness Center
* Basketball Court
* Volleyball Court","* Dishwasher
* Microwave
* Range
* Refrigerator","* 24-Hour Doorman
* 24HourConcierge
* 24HourDoorman
* ATM in Building
* Basketball Court
* BBQ Grills
* BicycleStorage
* Billiards
* ChildrensPlayroom
* ClubRoom
* Game Room
* Garden
* HomeWorkCoWorkingSpace
* LandscapedRoofDeck
* Laundry Room
* LiveInSuper
* Lobby Lounge
* NonSmoking
* Package Room
* Package Room Attendant
* ParkingGarage
* PelotonBikes
* Pet Washroom
* PetFriendly
* Pet-Friendly
* Resident Lounge
* Screening Room
* Shared Workspace
* Terrace
* ThrowMeABoneInc
* TV Room
* Valet
* WiFi
* Yoga Room","* Air Conditioning
* Heating
* Alarm
* Wheelchair Accessible (Rooms)",* Window Coverings,"1 Year, 2 Year","* Package Service
* Laundry Facilities
* Day Care
* Maintenance on site
* Doorman
* On-Site ATM","* Built in 2018
* 770 Units/44 Stories","* Elevator
* Lounge
* Storage Space",* Sundeck,[],
The Eugene,844-500-7684,"435 W 31st St, New York, NY 10001",,"$3,575 - 11,937",,,Pets Negotiable,,,,"* Fitness Center
* Playground
* Basketball Court","* Dishwasher
* Microwave
* Range","* Bike Storage
* Concierge Services
* Granite Countertops
* Private Outdoor Space
* Stainless Steel Appliances","* Washer/Dryer
* Heating
* Ceiling Fans","* Hardwood Floors
* Views
* Walk-In Closets",12 - 24 Month Leases,"* Laundry Facilities
* Doorman
* Concierge","* Built in 2017
* 888 Units/62 Stories","* Elevator
* Business Center
* Clubhouse
* Storage Space
* Library",,[],
Herald Towers,844-836-2757,"50 W 34th St, New York, NY 10001",,"$2,900 - 5,300",,,"Cats Allowed
* 1 Pet Limit",,,,"* Fitness Center
* Fitness Programs
* Cardio Machines
* Free Weights","* Dishwasher
* Disposal
* Microwave
* Range
* Refrigerator","* Renovated
* Stainless Appliances
* Walk-In Closet","* High Speed Internet Access
* Wi-Fi
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Storage Units
* Intercom","* Hardwood Floors
* Dining Room
* Vaulted Ceiling
* Views
* Walk-In Closets",12 - 26 Month Leases,"* Package Service
* Laundry Facilities
* Maintenance on site
* Property Manager on Site
* Doorman
* Concierge
* 24 Hour Availability
* Dry Cleaning Service
* Laundry Service","* Built in 1911
* 690 Units/25 Stories","* Elevator
* Clubhouse
* Lounge",* Rooftop Lounge,[],
21 WEA,646-868-3032,"21 W End Ave, New York, NY 10023",760 - 900 Sq Ft,"$3,159 - 7,436",,,"Dogs Allowed
Pets Allowed 
* $600 Fee
* 2 Pet Limit",,,,"* Fitness Center
* Sauna","* Dishwasher
* Microwave","* 24-Hour Concierge
* Ample Closet Space
* bar
* Bar and Cafe
* Bike Room
* Bike Storage
* Bosch Washer/Dryers
* Boxing Studio
* Cafe
* Can Be Furnished
* Canadian White Oak Floors
* Cats and Dogs Allowed
* Central Air
* Central Air Conditioning
* Childrens Playroom
* Children's Playroom
* Club Room
* Cold storage
* community recreational facility
* Concierge
* Demo-kitchen
* Detailed Molding and Designer Finishes
* Dishwasher
* Dog Park
* Dog Run
* Doggy Day Care
* Doorman
* Duplex
* Elevator
* Exposed Brick
* Fitness Center
* Fitness Classes
* Floor to Ceiling Windows
* Game Room
* Golf Simulator
* Guarantors Allowed
* Gym
* Hardwood Floors
* Heat/Hot Water Included
* Hot Tub
* Jacuzzi
* Laundry in Building
* Laundry in Unit
* Library
* Lounge
* Marble Countertops
* Marble Floors and Counter Tops in the Kitchen
* Media Area
* Media Room
* Microwave
* Modern Kitchen
* Multiple Lounges
* New Development
* Oak Floors
* Outdoor Areas
* Outdoorspace
* Outside Grill
* Pets Allowed
* Pied-a-terre Allowed
* Playroom
* POOL
* Private Outdoor Space
* Public Outdoor Space
* Renovated
* restaurant
* Sauna
* Screening Room
* Smoke-Free
* Spa
* Stainless Steel Kitchenaid Appliances
* Swimming Pool
* Valet
* Verizon Fios Enabled
* Walk in Closet
* Walk-In Closet
* Washer/ Dryer in-Unit
* wine cellar
* Wine Tasting Room
* Workshop
* Yoga Room","* Washer/Dryer
* Air Conditioning
* Heating
* Storage Units",* Hardwood Floors,14 - 26 Month Leases,"* Laundry Facilities
* Maintenance on site
* Doorman","* Built in 2016
* 616 Units/43 Stories","* Elevator
* Storage Space
* Library",,[],
FRANK 57 WEST,844-290-1141,"600 W 58th St, New York, NY 10019",,"$5,257",,,No Pets Allowed,,,Garage,* Fitness Center,"* Dishwasher
* Microwave","* Bike Storage
* Central Air
* Community Events and Outings
* Dishwasher
* Elevator
* Furnished
* Garage
* Gym
* Hardwood Floors
* Laundry in Unit
* Microwave
* New Development
* Onsite Management
* Outdoor Areas
* Package Concierge
* Resident Lounge
* Roof Deck
* Shuttle Service to Columbus Circle
* Smoke Free Building
* Virtual Package Concierge
* Walk in Closet
* Walk in Shower","* Washer/Dryer
* Air Conditioning",* Hardwood Floors,13 - 26 Month Leases,,"* Built in 2017
* 65 Units/10 Stories",* Elevator,,[],
Rachel Bridge Apartments,844-865-2738,"1365 Saint Nicholas Ave, New York, NY 10033",650 - 850 Sq Ft,"$1,895 - 3,195",,,,,,Street,,"* Granite Countertops
* Eat-in Kitchen
* Kitchen
* Refrigerator","* Balcony And River Views
* Balcony W/ Views Of Upper Manhattan
* Granite Countertops
* Granite Countertops, St Steel Appliances
* Newly Renovated Kitchen And Bath
* Pets Ok
* Short Walk To The #1 Train
* Spacious Living Room With Lots Of Light","* Heating
* Cable Ready","* Hardwood Floors
* Views
* Walk-In Closets",,"* Laundry Facilities
* Doorman
* Laundry Service","* Built in 1962
* 480 Units/32 Stories",,* Balcony,[],
Waterside Plaza,844-481-8877,"25 Waterside Plz, New York, NY 10010",631 Sq Ft,"$3,200 - 6,895",,,"Cats Allowed:
No dogs allowed, please. Cats and other small animals are okay.",,,"Street and Garage
$350/month for tenants. Street parking also available. ZipCar rental and carwash available at the garage.","* Fitness Center
* Pool
* Playground","* Dishwasher
* Microwave
* Range","* Free Shuttle for Residents that Runs to Union Square and the UN
* Wood Parquet Flooring","* High Speed Internet Access
* Air Conditioning
* Heating
* Cable Ready
* Tub/Shower",* Hardwood Floors,,"* Property Manager on Site
* Doorman
* Concierge","* Built in 1973
* 1470 Units/37 Stories","* Elevator
* Business Center
* Lounge
* Storage Space",* Sundeck,[],
25 E 67th St,914-380-3228,"796 Madison Ave, New York, NY 10021",,"$6,500 - 8,250",,,Pets Negotiable,,,,,"* Kitchen
* Range",,* Heating,,12 Months,,"* Built in 1928
* Renovated in Jan 1986
* 60 Units/15 Stories",,,[],
Oskar,855-259-4393,"572 11th Ave, New York, NY 10036",,"$3,823 - 7,555",,,Pets Negotiable,,,,"* Fitness Center
* Health Club Facility
* Cardio Machines
* Free Weights
* Weight Machines","* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator",* No Fee,"* High Speed Internet Access
* Wi-Fi
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Alarm
* Tub/Shower","* Hardwood Floors
* Dining Room
* Views
* Walk-In Closets",,"* Package Service
* Community-Wide WiFi
* Controlled Access
* Maintenance on site
* Property Manager on Site
* Doorman
* Concierge
* 24 Hour Availability
* LEED Rating","* Built in 2018
* 164 Units/13 Stories","* Elevator
* Business Center
* Clubhouse
* Lounge
* Disposal Chutes","* Rooftop Lounge
* Courtyard
* Balcony
* Deck",[],
Sky,844-481-4785,"605 W 42nd St, New York, NY 10036",,"$3,215 - 8,065",,,"Dogs and Cats Allowed
Pets Allowed",,,"Covered
Parking Available","* Fitness Center
* Pool",,"* 15,500 SF OF FITNESS SPACE
* 2 ART LIBRARIES WITH FIREPLACES
* ATM
* BIKE STORAGE
* BILLIARDS LOUNGE AND CAFÉ
* COMPLIMENTARY DAILY BREAKFAST
* FULL-SERVICE SPA
* Heat/Hot Water Included
* INFINITI LOOP MOTORCOURT
* Outdoor Areas
* PROFESSIONAL-SIZED BASKETBALL COURT
* SKYDECK WITH TWO ZERO-EDGE POOLS
* SKYLINK: BUILDING LINK SYSTEM
* SPOT CANINE CLUB AT SKY
* THE PARK, PRIVATE TO RESIDENTS
* Virtual Doorman
* Washer/Dryer Allowed","* High Speed Internet Access
* Air Conditioning
* Smoke Free
* Wheelchair Accessible (Rooms)",,,"* Laundry Facilities
* Maintenance on site
* Doorman
* On-Site Retail","* Built in 2015
* 764 Units/60 Stories",* Elevator,,[],
2 Gold St,844-319-7393,"2 Gold St, New York, NY 10038",624 Sq Ft,"$3,120 - 7,600",,,"Dogs Allowed:
Restrictions Apply 
* 50 lb Weight Limit
* 1 Pet Limit",,,Garage,"* Fitness Center
* Cardio Machines
* Pool
* Playground
* Bike Storage
* Gameroom","* Dishwasher
* Granite Countertops
* Stainless Steel Appliances
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator","* 24-Hour Doorman
* 24HourConcierge
* 24HourDoorman
* ATM in Building
* BicycleStorage
* Billiards
* ChildrensPlayroom
* ClubRoom
* HomeWorkCoWorkingSpace
* LandscapedRoofDeck
* Laundry Room
* LiveInSuper
* Lobby Lounge
* NonSmoking
* Package Room
* ParkingGarage
* PetFriendly
* Pet-Friendly
* ResidentLounge
* Solarium
* SwimmingPool
* Terrace
* Valet
* Water Feature
* WiFi
* YogaRoom","* Wi-Fi
* Air Conditioning
* Heating
* Cable Ready
* Satellite TV
* Alarm
* Fireplace
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Tile Floors
* Views
* Double Pane Windows
* Window Coverings","1 Year, 2 Year","* Package Service
* Laundry Facilities
* Day Care
* Maintenance on site
* Property Manager on Site
* Doorman
* Concierge
* 24 Hour Availability
* Dry Cleaning Service
* Laundry Service","* Built in 2005
* 650 Units/51 Stories","* Elevator
* Clubhouse
* Lounge
* Multi Use Room
* Storage Space
* Tanning Salon","* Rooftop Lounge
* Sundeck
* Cabana
* Courtyard
* Balcony
* Patio
* Deck",[],
Windsor Court,844-548-2315,"155 E 31st St, New York, NY 10016",910 Sq Ft,"$2,960 - 4,810",,,"Dogs and Cats Allowed
Pets Allowed 
* 2 Pet Limit",,,"Surface Lot
Assigned Parking.","* Fitness Center
* Health Club Facility
* Pool","* Dishwasher
* Microwave","* Bamboo Floors
* Bike Storage
* Black Granite Countertops
* Black Granite Countertops/Floors in Kitchen
* Complimentary Health Club Membership
* Custom Window Shades
* Dishwasher
* Doorman
* Duplex
* Elevator
* Full Full Marble Bathroom
* Full Marble Bathroom
* Full Marble Bathrooms
* Garage
* Granite Countertops
* Gray Granite Countertops
* Gray Quartz Countertops
* Grey Quartz Counter Tops
* Hardwood Floors
* Health Club With Pool
* Laundry on Every Floor
* Laundry On Floor
* Lighted Tray Ceiling
* Lounge And Sundeck
* Marble Bathroom
* Marble Bathrooms
* Microwave
* Plank Flooring
* Plank Floors
* Porcelain Tile in Bathroom
* Private Outdoor Space
* Private Park
* Private Terrace
* Quartz Countertops
* Quartz Countertops in Kitchen
* Renovated
* Stainless Steel Appliance
* Stainless Steel Appliances
* Stainless Steel Applicances
* Valet On-Site
* W/Terrace
* White Appliance
* White Appliances
* White Kitchen Appliances
* White Kitchen Cabinets
* White Pantry Cabinets
* White Shaker Style Cabinets
* Wirebrushed Oak Driftwood Plank Wood Flooring
* With Terrace","* High Speed Internet Access
* Air Conditioning",* Hardwood Floors,12 - 14 Month Leases,"* Laundry Facilities
* Property Manager on Site
* Doorman
* 24 Hour Availability","* Built in 1987
* 709 Units/31 Stories","* Elevator
* Business Center",,[],
River Place,844-552-8953,"650 W 42nd St, New York, NY 10036",700 Sq Ft,"$3,650 - 5,200",,,,,,"Covered
Parking Available","* Fitness Center
* Sauna
* Pool","* Dishwasher
* Microwave","* Childrens Playroom
* Concierge Services
* Courtyard
* Dining Alcove
* Doorman
* Elevator
* Fitness Center
* Greystone Flooring
* Pet Friendly
* Playground
* Renovated
* Roller Shades
* Sauna
* Shuttle Bus
* Swimming Pool",,,12 Months,,"* Built in 2000
* 921 Units/40 Stories
* Energy Star Rated",* Elevator,,[],
Biltmore Plaza,844-268-4654,"155 E 29th St, New York, NY 10016",597 Sq Ft,"$3,815 - 3,930",,,"Dogs and Cats Allowed
Pets Allowed 
* 2 Pet Limit",,,Garage: $450,,"* Dishwasher
* Microwave","* Bamboo Floors
* Black Granite Countertops/Floors in Kitchen
* Dishwasher
* Doorman
* Elevator
* Full Marble Bathroom
* Full Marble Bathrooms
* Garage
* Granite Countertops
* Gray Quartz Countertops
* Grey Quartz Counter Tops
* Hardwood Floors
* Health Club With Pool
* Laundry In Building
* Laundry in Unit
* Microwave
* Plank Flooring
* Renovated
* Stainless Steel Appliance
* Stainless Steel Appliances
* Sundeck
* White Appliance
* White Appliances
* White Kitchen Appliances
* White Kitchen Cabinets",,* Hardwood Floors,13 - 14 Month Leases,"* Laundry Facilities
* Doorman","* Built in 1980
* 279 Units/35 Stories",* Elevator,* Sundeck,[],
