Option Name,Address
[Gateway Battery Park City](https://www.apartments.com/gateway-battery-park-city-new-york-ny/rlcl211/),"[345-395 S End Ave, New York, NY 10280](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/345-395+S+End+Ave,+New+York,+NY+10280/data=!4m2!4m1!3e2)"
[The Max](https://www.apartments.com/the-max-new-york-ny/24f34qb/),"[606 W 57th St, New York, NY 10019](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/606+W+57th+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)"
[The Eugene](https://www.apartments.com/the-eugene-new-york-ny/thftp68/),"[435 W 31st St, New York, NY 10001](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/435+W+31st+St,+New+York,+NY+10001/data=!4m2!4m1!3e2)"
[Herald Towers](https://www.apartments.com/herald-towers-new-york-ny/rjlbf92/),"[50 W 34th St, New York, NY 10001](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/50+W+34th+St,+New+York,+NY+10001/data=!4m2!4m1!3e2)"
[21 WEA](https://www.apartments.com/21-wea-new-york-ny/w5rlg9k/),"[21 W End Ave, New York, NY 10023](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/21+W+End+Ave,+New+York,+NY+10023/data=!4m2!4m1!3e2)"
[FRANK 57 WEST](https://www.apartments.com/frank-57-west-new-york-ny/yh2kx5r/),"[600 W 58th St, New York, NY 10019](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/600+W+58th+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)"
[Rachel Bridge Apartments](https://www.apartments.com/rachel-bridge-apartments-new-york-ny/b0ke53c/),"[1365 Saint Nicholas Ave, New York, NY 10033](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/1365+Saint+Nicholas+Ave,+New+York,+NY+10033/data=!4m2!4m1!3e2)"
[Waterside Plaza](https://www.apartments.com/waterside-plaza-new-york-ny/4mwgfwk/),"[25 Waterside Plz, New York, NY 10010](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/25+Waterside+Plz,+New+York,+NY+10010/data=!4m2!4m1!3e2)"
[25 E 67th St](https://www.apartments.com/25-e-67th-st-new-york-ny/gmt914x/),"[796 Madison Ave, New York, NY 10021](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/796+Madison+Ave,+New+York,+NY+10021/data=!4m2!4m1!3e2)"
[Oskar](https://www.apartments.com/oskar-new-york-ny/p900epv/),"[572 11th Ave, New York, NY 10036](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/572+11th+Ave,+New+York,+NY+10036/data=!4m2!4m1!3e2)"
[Sky](https://www.apartments.com/sky-new-york-ny/w1h7edh/),"[605 W 42nd St, New York, NY 10036](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/605+W+42nd+St,+New+York,+NY+10036/data=!4m2!4m1!3e2)"
[2 Gold St](https://www.apartments.com/2-gold-st-new-york-ny/1e2v5y6/),"[2 Gold St, New York, NY 10038](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/2+Gold+St,+New+York,+NY+10038/data=!4m2!4m1!3e2)"
[Windsor Court](https://www.apartments.com/windsor-court-new-york-ny/q3856xz/),"[155 E 31st St, New York, NY 10016](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/155+E+31st+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)"
[River Place](https://www.apartments.com/river-place-new-york-ny/pgkzl2t/),"[650 W 42nd St, New York, NY 10036](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/650+W+42nd+St,+New+York,+NY+10036/data=!4m2!4m1!3e2)"
[Biltmore Plaza](https://www.apartments.com/biltmore-plaza-new-york-city-ny/h26j1b1/),"[155 E 29th St, New York, NY 10016](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/155+E+29th+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)"
[Henry Hall](https://www.apartments.com/henry-hall-new-york-ny/2hve1y8/),"[509 W 38th St, New York, NY 10018](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/509+W+38th+St,+New+York,+NY+10018/data=!4m2!4m1!3e2)"
[Common Hamilton](https://www.apartments.com/common-hamilton-new-york-ny/1e2c6d6/),"[468 W 146th St, New York, NY 10031](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/468+W+146th+St,+New+York,+NY+10031/data=!4m2!4m1!3e2)"
[The Helena](https://www.apartments.com/the-helena-new-york-ny/6het1tr/),"[601 W 57th St, New York, NY 10019](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/601+W+57th+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)"
[505 W 37th St](https://www.apartments.com/505-w-37th-st-new-york-ny/nyd9l2m/),"[505 W 37th St, New York, NY 10018](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/505+W+37th+St,+New+York,+NY+10018/data=!4m2!4m1!3e2)"
[VIA 57 WEST](https://www.apartments.com/via-57-west-new-york-ny/7tc4rkx/),"[625 W 57th St, New York, NY 10019](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/625+W+57th+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)"
[116 John St](https://www.apartments.com/116-john-st-new-york-ny/v77e9ne/),"[116 John St, New York, NY 10038](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/116+John+St,+New+York,+NY+10038/data=!4m2!4m1!3e2)"
[2 Gold St](https://www.apartments.com/2-gold-st-new-york-ny/1e2v5y6/),"[2 Gold St, New York, NY 10038](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/2+Gold+St,+New+York,+NY+10038/data=!4m2!4m1!3e2)"
[James Marquis](https://www.apartments.com/james-marquis-new-york-ny/f9y4jpv/),"[101 W 90th St, New York, NY 10024](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/101+W+90th+St,+New+York,+NY+10024/data=!4m2!4m1!3e2)"
[48 W 68th Street](https://www.apartments.com/48-w-68th-street-new-york-ny/hh407z2/),"[46-52 W 68th St, New York, NY 10023](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/46-52+W+68th+St,+New+York,+NY+10023/data=!4m2!4m1!3e2)"
[Instrata at Mercedes House](https://www.apartments.com/instrata-at-mercedes-house-new-york-ny/s1lkyq6/),"[550 W 54th St, New York, NY 10019](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/550+W+54th+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)"
[332-334 E 18 Street](https://www.apartments.com/332-334-e-18-street-new-york-ny/ptxkppt/),"[332 E 18th St, New York, NY 10003](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/332+E+18th+St,+New+York,+NY+10003/data=!4m2!4m1!3e2)"
[Kips Bay Court](https://www.apartments.com/kips-bay-court-new-york-ny/p5czw9s/),"[490 2nd Ave, New York, NY 10016](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/490+2nd+Ave,+New+York,+NY+10016/data=!4m2!4m1!3e2)"
[The Alyn](https://www.apartments.com/the-alyn-new-york-ny/757zg3w/),"[152 E 87th St, New York, NY 10128](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/152+E+87th+St,+New+York,+NY+10128/data=!4m2!4m1!3e2)"
[The Alabama](https://www.apartments.com/the-alabama-new-york-ny/xe1hb5m/),"[15 E 11th St, New York, NY 10003](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/15+E+11th+St,+New+York,+NY+10003/data=!4m2!4m1!3e2)"
[AVA High Line](https://www.apartments.com/ava-high-line-new-york-ny/ylyx58r/),"[525 W 28th St, New York, NY 10001](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/525+W+28th+St,+New+York,+NY+10001/data=!4m2!4m1!3e2)"
[Avalon Morningside Park](https://www.apartments.com/avalon-morningside-park-new-york-ny/bqxgbwc/),"[1 Morningside Dr, New York, NY 10025](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/1+Morningside+Dr,+New+York,+NY+10025/data=!4m2!4m1!3e2)"
[Avalon West Chelsea](https://www.apartments.com/avalon-west-chelsea-new-york-ny/jld9m64/),"[282 11th Ave, New York, NY 10001](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/282+11th+Ave,+New+York,+NY+10001/data=!4m2!4m1!3e2)"
[160 W 22nd St](https://www.apartments.com/160-w-22nd-st-new-york-ny/5pwbmwn/),"[160 W 22nd St, New York, NY 10011](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/160+W+22nd+St,+New+York,+NY+10011/data=!4m2!4m1!3e2)"
[Avalon Bowery Place I](https://www.apartments.com/avalon-bowery-place-i-new-york-ny/d0d8b3k/),"[11 E 1st St, New York, NY 10003](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/11+E+1st+St,+New+York,+NY+10003/data=!4m2!4m1!3e2)"
[The Ludlow](https://www.apartments.com/the-ludlow-new-york-ny/d7bqchk/),"[188 Ludlow St, New York, NY 10002](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/188+Ludlow+St,+New+York,+NY+10002/data=!4m2!4m1!3e2)"
[Murray Hill East - Luxury Furnished Apartment](https://www.apartments.com/murray-hill-east-luxury-furnished-apartment-new-york-ny/905fqp6/),"[149 E 39th St, New York, NY 10016](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/149+E+39th+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)"
[280 Park Ave South](https://www.apartments.com/280-park-ave-south-new-york-ny/nepxp0n/),"[280 Park Ave S, New York, NY 10010](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/280+Park+Ave+S,+New+York,+NY+10010/data=!4m2!4m1!3e2)"
[Tower 31](https://www.apartments.com/tower-31-new-york-ny/gcwecey/),"[9 W 31st St, New York, NY 10001](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/9+W+31st+St,+New+York,+NY+10001/data=!4m2!4m1!3e2)"
[160 Madison](https://www.apartments.com/160-madison-new-york-ny/8let782/),"[160 Madison Ave, New York, NY 10016](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/160+Madison+Ave,+New+York,+NY+10016/data=!4m2!4m1!3e2)"
[West Side Marquis](https://www.apartments.com/west-side-marquis-new-york-ny/nxn82lq/),"[70 W 95th St, New York, NY 10025](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/70+W+95th+St,+New+York,+NY+10025/data=!4m2!4m1!3e2)"
[Hawthorne Gardens](https://www.apartments.com/hawthorne-gardens-new-york-ny/7wrnq4x/),"[4861-4881 Broadway, New York, NY 10034](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/4861-4881+Broadway,+New+York,+NY+10034/data=!4m2!4m1!3e2)"
[326 E 117th St](https://www.apartments.com/326-e-117th-st-new-york-ny/5s5zlzp/),"[326 E 117th St, New York, NY 10035](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/326+E+117th+St,+New+York,+NY+10035/data=!4m2!4m1!3e2)"
[West 74 LLC](https://www.apartments.com/west-74-llc-new-york-ny/lke4f3d/),"[10 W 74th St, New York, NY 10023](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/10+W+74th+St,+New+York,+NY+10023/data=!4m2!4m1!3e2)"
[The Octagon](https://www.apartments.com/the-octagon-new-york-ny/9w36sk7/),"[888 Main St, New York, NY 10044](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/888+Main+St,+New+York,+NY+10044/data=!4m2!4m1!3e2)"
[The Sagamore](https://www.apartments.com/the-sagamore-new-york-ny/msdrr4l/),"[189 W 89th St, New York, NY 10024](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/189+W+89th+St,+New+York,+NY+10024/data=!4m2!4m1!3e2)"
[Symphony House](https://www.apartments.com/symphony-house-new-york-ny/8wyby41/),"[235 W 56th St, New York, NY 10019](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/235+W+56th+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)"
[Gracie Mews](https://www.apartments.com/gracie-mews-new-york-ny/76smzpx/),"[401 E 80th St, New York, NY 10075](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/401+E+80th+St,+New+York,+NY+10075/data=!4m2!4m1!3e2)"
[3155 Broadway](https://www.apartments.com/3155-broadway-new-york-ny/7vktdbw/),"[3155 Broadway, New York, NY 10027](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/3155+Broadway,+New+York,+NY+10027/data=!4m2!4m1!3e2)"
[The Oxford Houses](https://www.apartments.com/the-oxford-houses-new-york-ny/qe490wz/),"[430-434 E 72nd St, New York, NY 10021](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/430-434+E+72nd+St,+New+York,+NY+10021/data=!4m2!4m1!3e2)"
[501 1/2 E 83rd St](https://www.apartments.com/501-1-2-e-83rd-st-new-york-ny/3chlh0g/),"[501 1/2 E 83rd St, New York, NY 10028](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/501+1/2+E+83rd+St,+New+York,+NY+10028/data=!4m2!4m1!3e2)"
[270 W 25th St Unit 4A](https://www.apartments.com/270-w-25th-st-new-york-ny-unit-4a/94js8z6/),"[270 W 25th St, New York, NY 10001](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/270+W+25th+St,+New+York,+NY+10001/data=!4m2!4m1!3e2)"
[312 E 73rd St Unit 1D](https://www.apartments.com/312-e-73rd-st-new-york-ny-unit-1d/m5xngnj/),"[312 E 73rd St, New York, NY 10021](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/312+E+73rd+St,+New+York,+NY+10021/data=!4m2!4m1!3e2)"
[11 E 80th St Unit 5B](https://www.apartments.com/11-e-80th-st-new-york-ny-unit-5b/2xh1s59/),"[11 E 80th St, New York, NY 10075](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/11+E+80th+St,+New+York,+NY+10075/data=!4m2!4m1!3e2)"
[117 W 58th St Unit 9B](https://www.apartments.com/117-w-58th-st-new-york-ny-unit-9b/hfvhsc2/),"[117 W 58th St, New York, NY 10019](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/117+W+58th+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)"
[214 W 30th St Unit 6s](https://www.apartments.com/214-w-30th-st-new-york-ny-unit-6s/3h2n8se/),"[214 W 30th St, New York, NY 10001](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/214+W+30th+St,+New+York,+NY+10001/data=!4m2!4m1!3e2)"
[126 E 24th St Unit 2b](https://www.apartments.com/126-e-24th-st-new-york-ny-unit-2b/wzxpbrj/),"[126 E 24th St, New York, NY 10010](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/126+E+24th+St,+New+York,+NY+10010/data=!4m2!4m1!3e2)"
[200 W 56th St Unit 36k](https://www.apartments.com/200-w-56th-st-new-york-ny-unit-36k/5hmtesp/),"[200 W 56th St, New York, NY 10019](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/200+W+56th+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)"
[152 W 49th St Unit 6f](https://www.apartments.com/152-w-49th-st-new-york-ny-unit-6f/wzsz8zl/),"[152 W 49th St, New York, NY 10019](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/152+W+49th+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)"
[223 2nd Ave Unit 2r](https://www.apartments.com/223-2nd-ave-new-york-ny-unit-2r/7qkz84z/),"[223 2nd Ave, New York, NY 10003](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/223+2nd+Ave,+New+York,+NY+10003/data=!4m2!4m1!3e2)"
[215 Mott St Unit 1](https://www.apartments.com/215-mott-st-new-york-ny-unit-1/ps22trv/),"[215 Mott St, New York, NY 10012](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/215+Mott+St,+New+York,+NY+10012/data=!4m2!4m1!3e2)"
[71 8th Ave Unit 1A](https://www.apartments.com/71-8th-ave-new-york-ny-unit-1a/4ycfwlh/),"[71 8th Ave, New York, NY 10014](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/71+8th+Ave,+New+York,+NY+10014/data=!4m2!4m1!3e2)"
[150 E 39th St Unit 1502](https://www.apartments.com/150-e-39th-st-new-york-ny-unit-1502/479thrh/),"[150 E 39th St, New York, NY 10016](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/150+E+39th+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)"
[205 E 66th St Unit 304](https://www.apartments.com/205-e-66th-st-new-york-ny-unit-304/86n8pp1/),"[205 E 66th St, New York, NY 10065](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/205+E+66th+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)"
[333 E 102nd St Unit 834](https://www.apartments.com/333-e-102nd-st-new-york-ny-unit-834/wgmv9fl/),"[333 E 102nd St, New York, NY 10029](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/333+E+102nd+St,+New+York,+NY+10029/data=!4m2!4m1!3e2)"
[182 E 95th St Unit 9h](https://www.apartments.com/182-e-95th-st-new-york-ny-unit-9h/w1nnydh/),"[182 E 95th St, New York, NY 10128](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/182+E+95th+St,+New+York,+NY+10128/data=!4m2!4m1!3e2)"
[119 Avenue D Unit 4F](https://www.apartments.com/119-avenue-d-new-york-ny-unit-4f/ft3j2lr/),"[119 Avenue D, New York, NY 10009](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/119+Avenue+D,+New+York,+NY+10009/data=!4m2!4m1!3e2)"
[211 E Broadway Unit 3](https://www.apartments.com/211-e-broadway-new-york-ny-unit-3/090ed31/),"[211 E Broadway, New York, NY 10002](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/211+E+Broadway,+New+York,+NY+10002/data=!4m2!4m1!3e2)"
[145 Attorney St Unit 6 B](https://www.apartments.com/145-attorney-st-new-york-ny-unit-6-b/t9sg6w8/),"[145 Attorney St, New York, NY 10002](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/145+Attorney+St,+New+York,+NY+10002/data=!4m2!4m1!3e2)"
[146 E 44th St Unit 46G](https://www.apartments.com/146-e-44th-st-new-york-ny-unit-46g/8vpyf60/),"[146 E 44th St, New York, NY 10174](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/146+E+44th+St,+New+York,+NY+10174/data=!4m2!4m1!3e2)"
[510 W 148th St Unit 20](https://www.apartments.com/510-w-148th-st-new-york-ny-unit-20/xh8y10m/),"[510 W 148th St, New York, NY 10031](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/510+W+148th+St,+New+York,+NY+10031/data=!4m2!4m1!3e2)"
[84 Washington St Unit 3204](https://www.apartments.com/84-washington-st-new-york-ny-unit-3204/zyjjslw/),"[84 Washington St, New York, NY 10006](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/84+Washington+St,+New+York,+NY+10006/data=!4m2!4m1!3e2)"
[120 E 62nd St Unit 4C](https://www.apartments.com/120-e-62nd-st-new-york-ny-unit-4c/b3b4zg8/),"[120 E 62nd St, New York, NY 10065](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/120+E+62nd+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)"
[56 Payson Ave Unit 1I](https://www.apartments.com/56-payson-ave-new-york-ny-unit-1i/2vtt3b9/),"[56 Payson Ave, New York, NY 10034](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/56+Payson+Ave,+New+York,+NY+10034/data=!4m2!4m1!3e2)"
[111 Worth St Unit 16D](https://www.apartments.com/111-worth-st-new-york-ny-unit-16d/ef9wvtp/),"[111 Worth St, New York, NY 10013](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/111+Worth+St,+New+York,+NY+10013/data=!4m2!4m1!3e2)"
[90 Leonard St Unit 924](https://www.apartments.com/90-leonard-st-new-york-ny-unit-924/ekq317q/),"[90 Leonard St, New York, NY 10013](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/90+Leonard+St,+New+York,+NY+10013/data=!4m2!4m1!3e2)"
[111 Worth St Unit 10J](https://www.apartments.com/111-worth-st-new-york-ny-unit-10j/bmd9p98/),"[111 Worth St, New York, NY 10013](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/111+Worth+St,+New+York,+NY+10013/data=!4m2!4m1!3e2)"
[854 W 180th St Unit 1G](https://www.apartments.com/854-w-180th-st-new-york-ny-unit-1g/jt24zr5/),"[854 W 180th St, New York, NY 10033](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/854+W+180th+St,+New+York,+NY+10033/data=!4m2!4m1!3e2)"
[338 W 47th St Unit 5a](https://www.apartments.com/338-w-47th-st-new-york-ny-unit-5a/v895ybf/),"[338 W 47th St, New York, NY 10036](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/338+W+47th+St,+New+York,+NY+10036/data=!4m2!4m1!3e2)"
[635 St Nicholas Ave Unit 5e](https://www.apartments.com/635-st-nicholas-ave-new-york-ny-unit-5e/h9qn533/),"[635 St Nicholas Ave, New York, NY 10031](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/635+St+Nicholas+Ave,+New+York,+NY+10031/data=!4m2!4m1!3e2)"
[261 W 25th St Unit 1A](https://www.apartments.com/261-w-25th-st-new-york-ny-unit-1a/jxyvhh5/),"[261 W 25th St, New York, NY 10001](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/261+W+25th+St,+New+York,+NY+10001/data=!4m2!4m1!3e2)"
[5 Water St Unit 4012](https://www.apartments.com/5-water-st-new-york-ny-unit-4012/90yh7e5/),"[5 Water St, New York, NY 10041](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/5+Water+St,+New+York,+NY+10041/data=!4m2!4m1!3e2)"
[5 Water St Unit 43D](https://www.apartments.com/5-water-st-new-york-ny-unit-43d/5q3w00q/),"[5 Water St, New York, NY 10041](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/5+Water+St,+New+York,+NY+10041/data=!4m2!4m1!3e2)"
[6 Water St Unit 23](https://www.apartments.com/6-water-st-new-york-ny-unit-23/tdny9kc/),"[6 Water St, New York, NY 10004](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/6+Water+St,+New+York,+NY+10004/data=!4m2!4m1!3e2)"
[6 Water St Unit 42](https://www.apartments.com/6-water-st-new-york-ny-unit-42/t91ydb8/),"[6 Water St, New York, NY 10004](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/6+Water+St,+New+York,+NY+10004/data=!4m2!4m1!3e2)"
[6 Water St Unit 45](https://www.apartments.com/6-water-st-new-york-ny-unit-45/990qm16/),"[6 Water St, New York, NY 10004](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/6+Water+St,+New+York,+NY+10004/data=!4m2!4m1!3e2)"
[181 E 7th St Unit 61](https://www.apartments.com/181-e-7th-st-new-york-ny-unit-61/wfsbq1k/),"[181 E 7th St, New York, NY 10009](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/181+E+7th+St,+New+York,+NY+10009/data=!4m2!4m1!3e2)"
[174 Mulberry St Unit 12](https://www.apartments.com/174-mulberry-st-new-york-ny-unit-12/drxdp0j/),"[174 Mulberry St, New York, NY 10013](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/174+Mulberry+St,+New+York,+NY+10013/data=!4m2!4m1!3e2)"
[85 John St Unit 7D](https://www.apartments.com/85-john-st-new-york-ny-unit-7d/crmk6je/),"[85 John St, New York, NY 10038](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/85+John+St,+New+York,+NY+10038/data=!4m2!4m1!3e2)"
[215 E 68th St Unit 25h](https://www.apartments.com/215-e-68th-st-new-york-ny-unit-25h/lneryzf/),"[215 E 68th St, New York, NY 10065](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/215+E+68th+St,+New+York,+NY+10065/data=!4m2!4m1!3e2)"
